probe_mode,system,dataset,example_id,question,selected_subset,original_prompt_passage_count,probe_prompt_passage_count,added_distractor_count,original_hit_top3,expected_passage_count,distractor_parent_passage_id,distractor_title,distractor_source_example_id,distractor_source_list,distractor_score,distractor_text,distractor_in_expected_set,distractor_already_in_top3,same_title_as_top1,same_source_example_as_query,competing_distractor_proxy,output_metric_delta_available,unsupported_non_abstained_delta,answer_coverage_delta,scope_note
static_prompt_injection_proxy_no_generation,baseline,asqa,asqa_dev_00004,How many state parks are there in virginia?,asqa_dev_eval_200_first40,3,4,1,true,3,asqa_passage_005270_66842be5f375,Government of Virginia,asqa_train_02975,raw_dense_candidates,0.680992,"Government of Virginia. The government of Virginia combines the Executive, Legislative and Judicial branches of authority in the Commonwealth of Virginia. The current Governor of Virginia is Ralph Northam. The State Capitol building in Richmond was designed...",false,false,false,false,true,false,,,Prompt-input probe only; no new model generations were run in this iteration.
static_prompt_injection_proxy_no_generation,gate_only,asqa,asqa_dev_00004,How many state parks are there in virginia?,asqa_dev_eval_200_first40,3,4,1,true,3,asqa_passage_005270_66842be5f375,Government of Virginia,asqa_train_02975,raw_dense_candidates,0.680992,"Government of Virginia. The government of Virginia combines the Executive, Legislative and Judicial branches of authority in the Commonwealth of Virginia. The current Governor of Virginia is Ralph Northam. The State Capitol building in Richmond was designed...",false,false,false,false,true,false,,,Prompt-input probe only; no new model generations were run in this iteration.
static_prompt_injection_proxy_no_generation,gate_plus_verifier,asqa,asqa_dev_00004,How many state parks are there in virginia?,asqa_dev_eval_200_first40,3,4,1,true,3,asqa_passage_005270_66842be5f375,Government of Virginia,asqa_train_02975,raw_dense_candidates,0.680992,"Government of Virginia. The government of Virginia combines the Executive, Legislative and Judicial branches of authority in the Commonwealth of Virginia. The current Governor of Virginia is Ralph Northam. The State Capitol building in Richmond was designed...",false,false,false,false,true,false,,,Prompt-input probe only; no new model generations were run in this iteration.
static_prompt_injection_proxy_no_generation,baseline,asqa,asqa_dev_00013,When did the last season of jersey shore air?,asqa_dev_eval_200_first40,3,4,1,false,1,asqa_passage_001766_0996df0a734b,Jersey Shore: Family Vacation,asqa_train_00995,raw_dense_candidates,0.762044,"Jersey Shore: Family Vacation. Jersey Shore: Family Vacation is an American reality television series that premiered globally, April 5, 2018 on MTV.",false,false,true,false,true,false,,,Prompt-input probe only; no new model generations were run in this iteration.
static_prompt_injection_proxy_no_generation,gate_only,asqa,asqa_dev_00013,When did the last season of jersey shore air?,asqa_dev_eval_200_first40,3,4,1,false,1,asqa_passage_001766_0996df0a734b,Jersey Shore: Family Vacation,asqa_train_00995,raw_dense_candidates,0.762044,"Jersey Shore: Family Vacation. Jersey Shore: Family Vacation is an American reality television series that premiered globally, April 5, 2018 on MTV.",false,false,true,false,true,false,,,Prompt-input probe only; no new model generations were run in this iteration.
static_prompt_injection_proxy_no_generation,gate_plus_verifier,asqa,asqa_dev_00013,When did the last season of jersey shore air?,asqa_dev_eval_200_first40,3,4,1,false,1,asqa_passage_001766_0996df0a734b,Jersey Shore: Family Vacation,asqa_train_00995,raw_dense_candidates,0.762044,"Jersey Shore: Family Vacation. Jersey Shore: Family Vacation is an American reality television series that premiered globally, April 5, 2018 on MTV.",false,false,true,false,true,false,,,Prompt-input probe only; no new model generations were run in this iteration.
static_prompt_injection_proxy_no_generation,baseline,asqa,asqa_dev_00014,What season of greys anatomy was the plane crash?,asqa_dev_eval_200_first40,3,4,1,true,5,asqa_passage_002145_4c5cf2743744,"In season 11, Derek is involved in a fatal car accident while driving to the airport for his final trip to Washington. He can hear and process auditory input but is unable to speak. He is recognized by Winnie, one of the victims of a crash he assisted in earlier, who tells the surgeons that their patient's name is Derek and that he is a surgeon as well. The hospital he is taken to is understaffed and under-equipped, and his head injury is not detected quickly enough by the arrogant doctors and inexperienced interns on duty that night; although one intern does suspect Derek had a head injury, her superior repeatedly shuts down her attempts to get him a head CT, prioritizing his abdominal bleeding beforehand and having him rushed into surgery even though he is stable enough for the CT. Although the neurosurgeon on call is paged multiple times after the doctors finally discover the head injury, he takes too long to arrive, and Derek is declared brain dead. Police arrive at Meredith's door and take her to see Derek, where she consents to remove him from life support. At the time of his death, Meredith is pregnant with their third child. After quietly leaving Seattle, she gives birth to a daughter whom she names Ellis after her mother.",asqa_train_01245,raw_dense_candidates,0.699002,"In season 11, Derek is involved in a fatal car accident while driving to the airport for his final trip to Washington. He can hear and process auditory input but is unable to speak. He is recognized by Winnie, one of the victims of a crash he assisted in ea...",false,false,false,false,true,false,,,Prompt-input probe only; no new model generations were run in this iteration.
static_prompt_injection_proxy_no_generation,gate_only,asqa,asqa_dev_00014,What season of greys anatomy was the plane crash?,asqa_dev_eval_200_first40,3,4,1,true,5,asqa_passage_002145_4c5cf2743744,"In season 11, Derek is involved in a fatal car accident while driving to the airport for his final trip to Washington. He can hear and process auditory input but is unable to speak. He is recognized by Winnie, one of the victims of a crash he assisted in earlier, who tells the surgeons that their patient's name is Derek and that he is a surgeon as well. The hospital he is taken to is understaffed and under-equipped, and his head injury is not detected quickly enough by the arrogant doctors and inexperienced interns on duty that night; although one intern does suspect Derek had a head injury, her superior repeatedly shuts down her attempts to get him a head CT, prioritizing his abdominal bleeding beforehand and having him rushed into surgery even though he is stable enough for the CT. Although the neurosurgeon on call is paged multiple times after the doctors finally discover the head injury, he takes too long to arrive, and Derek is declared brain dead. Police arrive at Meredith's door and take her to see Derek, where she consents to remove him from life support. At the time of his death, Meredith is pregnant with their third child. After quietly leaving Seattle, she gives birth to a daughter whom she names Ellis after her mother.",asqa_train_01245,raw_dense_candidates,0.699002,"In season 11, Derek is involved in a fatal car accident while driving to the airport for his final trip to Washington. He can hear and process auditory input but is unable to speak. He is recognized by Winnie, one of the victims of a crash he assisted in ea...",false,false,false,false,true,false,,,Prompt-input probe only; no new model generations were run in this iteration.
static_prompt_injection_proxy_no_generation,gate_plus_verifier,asqa,asqa_dev_00014,What season of greys anatomy was the plane crash?,asqa_dev_eval_200_first40,3,4,1,true,5,asqa_passage_002145_4c5cf2743744,"In season 11, Derek is involved in a fatal car accident while driving to the airport for his final trip to Washington. He can hear and process auditory input but is unable to speak. He is recognized by Winnie, one of the victims of a crash he assisted in earlier, who tells the surgeons that their patient's name is Derek and that he is a surgeon as well. The hospital he is taken to is understaffed and under-equipped, and his head injury is not detected quickly enough by the arrogant doctors and inexperienced interns on duty that night; although one intern does suspect Derek had a head injury, her superior repeatedly shuts down her attempts to get him a head CT, prioritizing his abdominal bleeding beforehand and having him rushed into surgery even though he is stable enough for the CT. Although the neurosurgeon on call is paged multiple times after the doctors finally discover the head injury, he takes too long to arrive, and Derek is declared brain dead. Police arrive at Meredith's door and take her to see Derek, where she consents to remove him from life support. At the time of his death, Meredith is pregnant with their third child. After quietly leaving Seattle, she gives birth to a daughter whom she names Ellis after her mother.",asqa_train_01245,raw_dense_candidates,0.699002,"In season 11, Derek is involved in a fatal car accident while driving to the airport for his final trip to Washington. He can hear and process auditory input but is unable to speak. He is recognized by Winnie, one of the victims of a crash he assisted in ea...",false,false,false,false,true,false,,,Prompt-input probe only; no new model generations were run in this iteration.
static_prompt_injection_proxy_no_generation,baseline,asqa,asqa_dev_00020,Who is the chief minister of m. p?,asqa_dev_eval_200_first40,3,4,1,true,6,asqa_passage_003425_892ede00a72f,Nandala Mafabi,asqa_train_01953,raw_dense_candidates,0.671875,"Nandala Mafabi. From May 2011 until January 2014, he was the leader of the opposition in the parliament.[2]",false,false,false,false,true,false,,,Prompt-input probe only; no new model generations were run in this iteration.
